Category,Original Text,Normalized Value,Normalized Value Corrected
DATE,7/11/62,2062-07-11,2062-11-07
DATE,3/2/2024,2024-03-02,2024-02-03
DATE,/7/62,2062-07,
DATE,23 7.62,2062-07-23,
DATE,8/6/1993,1993-08-06,1993-06-08
DATE,11.8.63,2063-11-08,2063-08-11
DATE,2/12/2063,2063-02-12,2063-12-02
DATE,2/6/63,2063-02-06,2063-06-02
DATE,2/7/63,2063-02-07,2063-07-02
DATE,2/12/2063,2063-02-12,2063-12-02
DATE,2.7.63,2063-02-07,2063-07-02
DATE,2/12/2063,2063-02-12,2063-12-02
DATE,2/9/1986,1986-02-09,1986-09-02
TIME,5:58pm on the 12th of December 2013,2013-12-12T17:58,T17:58
DATE,29th of January 2063,2063-01-29,
DATE,1/10/2063,2063-01-10,2063-10-01
DATE,1.9.63,2063-01-09,2063-09-01
DATE,10/2/63,2063-10-02,2063-02-10
DATE,2/6/62,2062-02-06,2062-06-02
TIME,06/12/2012 at 12:37,2013-12-06T12:37,2012-12-06T12:37
DATE,3.4.63,2063-03-04,2063-04-03
DATE,3.4.63,2063-03-04,2063-04-03
DATE,3/4/63,2063-03-04,2063-04-03
DATE,3/5/63,2063-03-05,2063-05-03
DATE,2/1/2062,2062-02-01,2062-01-02
DATE,12/5/2062,2062-12-05,2062-05-12
DATE,12/6/62,2062-12-06,2062-06-12
DATE,3/12/2031,2031-03-12,2031-12-03
DATE,1.10.62,2062-01-10,2062-10-01
DATE,10/7/2063,2063-10-07,2063-07-10
DATE,10.7.2063,2063-10-07,2063-07-10
DATE,1.10.62,2062-01-10,2062-10-01
DATE,10.7.2063,2063-10-07,2063-07-10
TIME,14/03/2013 at 09:13,013-03-14T09:13,2013-03-14T09:13
DATE,11/12/1995,1995-11-12,1995-12-11
DATE,2.8.62,2062-02-08,2062-08-02
DATE,2/6/2063,2063-02-06,2063-06-02
DATE,2/5/63,2063-02-05,2063-05-02
DATE,2/7/2063,2063-02-07,2063-07-02
DATE,2.5.63,2063-02-05,2063-05-02
DATE,1/5/2032,2032-01-05,2032-05-01
DATE,1/9/2031,2031-01-09,2031-09-01
TIME,1300 hours on the 16th of December 2013,2013-12-16T13:00,
DATE,2.8.63,2063-02-08,2063-08-02
DATE,2.8.63,2063-02-08,2063-08-02
DATE,5/4/1989,1989-05-04,1989-04-05
DATE,2.11.63,2063-02-11,2063-11-02
DATE,6/4/1995,1995-06-04,1995-04-06
DATE,2.12.63,2063-02-12,2063-12-02
DATE,2/4/2063,2063-02-04,2063-04-02
DATE,2/7/2063,2063-02-07,2063-07-02
DATE,2.4.63,2063-02-04,2063-04-02
DATE,2.4.63,2063-02-04,2063-04-02
DATE,2.4.63,2063-02-04,2063-04-02
DATE,1.3.63,2063-01-03,2063-03-01
DATE,1/10/63,2063-01-10,2063-10-01
DATE,5/2/2004,2004-05-02,2004-02-05
DATE,1.8.63,2063-01-08,2063-08-01
TIME,5th of November 2013 at 10:15am,2013-11-05T10:15,T10:15
DATE,12/10/2063,2063-12-10,2063-10-12
DATE,12.11.63,2063-12-11,2063-11-12
DATE,7/10/1990,1990-07-10,1990-10-07
DATE,1/7/63,2063-01-07,2063-07-01
DATE,1/8/63,2063-01-08,2063-08-01
DATE,1/7/63,2063-01-07,2063-07-01
DATE,1.6.63,2063-01-06,2063-06-01
DATE,1/9/1986,1986-01-09,1986-09-01
DATE,11/1/1991,1991-11-01,1991-01-11
DATE,3/12/2017,2017-03-12,2017-12-03
DATE,2.5.63,2063-02-05,2063-05-02
DATE,10/5/2002,2002-10-05,2002-05-10
DATE,11/8/2063,2063-11-08,2063-08-11
DATE,5/8/1995,1995-05-08,1995-08-05
DATE,11.6.63,2063-11-06,2063-06-11
DATE,11/12/2063,2063-11-12,2063-12-11
DATE,11.12.63,2063-11-12,2063-12-11
TIME,12:55 p.m. on the 12th of September 2013,2013-09-12T12:55,
DATE,1/10/1990,1990-01-10,1990-10-01
DATE,20th of November 2063,2063-11-20,
DATE,9/12/2004,2004-09-12,2004-12-09
DATE,12.3.63,2063-12-03,2063-03-12
DATE,12.3.63,2063-12-03,2063-03-12
TIME,10:10am on the 17th of September 2013,2013-09-17T10:10,T10:10
DATE,10/6/2028,2028-10-06,2028-06-10
TIME,11:02am on the 23rd of September 2013,2013-09-23T11:02,T11:02
TIME,16:25pm on the 25th of September 2013,2013-09-25T16:25,T16:25
DATE,12/3/2063,2063-12-03,2063-03-12
TIME,3:40pm on the24th of September 2013,2013-09-24T15:40,T15:40
DATE,27th of November 2063,2063-11-27,
DATE,27th of November 2063,2063-11-27,
DATE,1/3/2020,2020-01-03,2020-03-01
DATE,11/12/63,2063-11-12,2063-12-11
DATE,3/10/2018,2018-03-10,2018-10-03
DATE,4/8/1987,1987-04-08,1987-08-04
TIME,3:35pm on the 16th of October 2013,2013-10-16T15:35,T15:35
DATE,23.0.13,201360-23,
DATE,12/6/2023,2023-12-06,2023-06-12
DATE,12/1/63,2063-12-01,2063-01-12
DATE,12/1/63,2063-12-01,2063-01-12
DATE,12.1.63,2063-12-01,2063-01-12
DATE,12/6/1996,1996-12-06,1996-06-12
TIME,1500pm on the 28th of October 2013,2013-10-28T15:00,
TIME,1500pm on the 28th of October 2013,2013-10-28T15:00,
DATE,12.1.63,2063-12-01,2063-01-12
DATE,12/2/63,2063-12-02,2063-02-12
DATE,1.10.63,2063-01-10,2063-10-01
DATE,2/12/2063,2063-02-12,2063-12-02
DATE,9/6/1993,1993-09-06,1993-06-09
DATE,Apr 2063,2063-04,2063-04-01
DATE,1.3.63,2063-01-03,2063-03-01
DATE,12.11.63,2063-12-11,2063-11-12
DATE,12.6.63,2063-12-06,2063-06-12
DATE,12.11.63,2063-12-11,2063-11-12
DATE,4/10/2063,2063-04-10,2063-10-04
DATE,4.3.63,2063-04-03,2063-03-04
DATE,2/163,2063-01-02,
TIME,16/01/2013 at 13:55,2013-01-16T13;55,2013-01-16T13:55
DATE,11/3/2042,2042-11-03,2042-03-11
DATE,4/3/63,2063-04-03,2063-03-04
DATE,3/12/1992,1992-03-12,1992-12-03
DATE,3.2.63,2063-03-02,2063-02-03
DATE,10/5/2003,2003-10-05,2003-05-10
DATE,3/2/2063,2063-03-02,2063-02-03
DATE,4.6.2063,2063-04-06,2063-06-04
DATE,4.8.63,2063-04-08,2063-08-04
DATE,4/10/2063,2063-04-10,2063-10-04
DATE,4.9.2063,2063-04-09,2063-09-04
DATE,7/3/2021,2021-07-03,2021-03-07
DATE,4/8/63,2063-04-08,2063-08-04
DATE,5/9/2063,2063-05-09,2063-09-05
DATE,Dec 2062,2062-12,2062-12-01
DATE,5/3/63,2063-05-03,2063-03-05
DATE,5/9/63,2063-05-09,2063-09-05
DATE,5/9/63,2063-05-09,2063-09-05
DATE,5.8.63,2063-05-08,2063-08-05
DATE,5.8.63,2063-05-08,2063-08-05
DATE,5.8.2063,2063-05-08,2063-08-05
DATE,12/2/63,2063-12-02,2063-02-12
DATE,now,2063-04-22,2063-04-20
DATE,9/11/1980,1980-09-11,1980-11-09
DATE,5/3/2063,2063-05-03,2063-03-05
DATE,Previous,2062,2063-04-30
DATE,5.6.63,2063-05-06,2063-06-05
DATE,5.6.63,2063-05-06,2063-06-05
DATE,3.11.64,2064-03-11,2064-11-03
DATE,21 6.62,2062-06-21,
DATE,3.11.64,2064-03-11,2064-11-03
DATE,12/10/2014,2014-12-10,2014-10-12
TIME,30/03/2013 at 14:12,2013-03-30,2013-03-30T14:12
DATE,Now,2013-03-30,2052
DATE,7/3/2021,2021-07-03,2021-03-07
DATE,5.6.63,2063-05-06,2063-06-05
DATE,10/7/1997,1997-10-07,1997-07-10
DATE,7/6/2001,2001-07-06,2001-06-07
DATE,5/9/2063,2063-05-09,2063-09-05
DATE,5/8/63,2063-05-08,2063-08-05
DATE,5.9.2063,2063-05-09,2063-09-05
DATE,12.10.62,2062-12-10,2062-10-12
DATE,5.8.63,2063-05-08,2063-08-05
DATE,5.10.2063,2063-05-10,2063-10-05
DATE,5/9/63,2063-05-09,2063-09-05
DATE,7/4/2029,2029-07-04,2029-04-07
DATE,7.3.63,2063-07-03,2063-03-07
DATE,12/6/1995,1995-12-06,1995-06-12
DATE,12.6.63,2063-12-06,2063-06-12
DATE,2/6/63,2063-02-06,2063-06-02
DATE,6/12/2063,2063-06-12,2063-12-06
TIME,11.555am on 10.04.13,2013-04-10T11:55,2013-04-10T05:55
DATE,10/2061,2061-10,2061-10-01
DATE,3/4/63,2063-03-04,2063-04-03
DATE,6/2/2063,2063-06-02,2063-02-06
DATE,7.8.2063,2063-07-08,2063-08-07
DATE,10/4/2020,2020-10-04,2020-04-10
DATE,6.2.63,2063-06-02,2063-02-06
DATE,7.12.63,2063-07-12,2063-12-07
DATE,3/4/2002,2002-03-04,2002-04-03
DATE,6.2.2063,2063-06-02,2063-02-06
DATE,6.10.2063,2063-06-10,2063-10-06
DATE,6.2.2063,2063-06-02,2063-02-06
DATE,6/1/63,2063-06-01,2063-01-06
DATE,6/5/2063,2063-06-05,2063-05-06
DATE,6/7/63,2063-06-07,2063-07-06
DATE,5.6.63,2063-05-06,2063-06-05
DATE,3/10/2007,2007-03-10,2007-10-03
DATE,6.12.2063,2063-06-12,2063-12-06
DATE,8/3/2001,2001-08-03,2001-03-08
DATE,6/7/63,2063-06-07,2063-07-06
DATE,7/3/2063,2063-07-03,2063-03-07
DATE,7.3.2063,2063-07-03,2063-03-07
DATE,7.3.2063,2063-07-03,2063-03-07
DATE,148,2148,
DATE,11/7/1997,1997-11-07,1997-07-11
DATE,2.3.2063,2063-02-03,2063-03-02
DATE,6.2.63,2063-06-02,2063-02-06
DATE,2/8/1980,1980-02-08,1980-08-02
DATE,2/8/1988,1988-02-08,1988-08-02
DATE,7/4/2063,2063-07-04,2063-04-07
TIME,1.5.13 @ 12.10pm,2013-05-01T12:10,T12:10
DATE,10/7/2063,2063-10-07,2063-07-10
DATE,7.12.63,2063-07-12,2063-12-07
DATE,7/9/2063,2063-07-09,2063-09-07
DATE,2/1/2062,2062-02-01,2062-01-02
DATE,2/7/2063,2063-02-07,2063-07-02
DATE,1/7/63,2063-01-07,2063-07-01
DATE,5/7/2032,2032-05-07,2032-07-05
DATE,original,2063-07-02,2063-09-03
DATE,1/2/2006,2006-01-02,2006-02-01
DATE,2.1.62,2062-02-01,2062-01-02
DATE,previous,2063-05-08,2063-08-13
DATE,1/7/63,2063-01-07,2063-07-01
DATE,7/3/2063,2063-07-03,2063-03-07
DATE,8.3.63,2063-08-03,2063-03-08
DATE,8/5/63,2063-08-05,2063-05-08
DATE,2.7.63,2063-02-07,2063-07-02
DATE,7/3/2063,2063-07-03,2063-03-07
DATE,2.7.63,2063-02-07,2063-07-02
DATE,5/8/63,2063-05-08,2063-08-05
DATE,2/7/63,2063-02-07,2063-07-02
DATE,8/5/2063,2063-08-05,2063-05-08
DATE,7/2/2063,2063-07-02,2063-02-07
DATE,7/3/63,2063-07-03,2063-03-07
DATE,5.8.63,2063-05-08,2063-08-05
DATE,5/8/63,2063-05-08,2063-08-05
DATE,8/5/1971,1971-08-05,1971-05-08
DATE,7/1/2063,2063-07-01,2063-01-07
DATE,9/12/2004,2004-09-12,2004-12-09
DATE,2/5/2011,2011-02-05,2011-05-02
DATE,7/9/63,2063-07-09,2063-09-07
DATE,9/12/2004,2004-09-12,2004-12-09
DATE,9.3.63,2063-09-03,2063-03-09
DATE,2/7/2008,2008-02-07,2008-07-02
DATE,2/12/2063,2063-02-12,2063-12-02
DATE,2.8.63,2063-02-08,2063-08-02
DATE,9/11/2063,2063-09-11,2063-11-09
DATE,9/11/2063,2063-09-11,2063-11-09
DATE,9.11.63,2063-09-11,2063-11-09
DATE,9/5/63,2063-09-05,2063-05-09
DATE,9.11.63,2063-09-11,2063-11-09
DATE,5/9/63,2063-05-09,2063-09-05
DATE,9.4.63,2063-09-04,2063-04-09
DATE,2.12.63,2063-02-12,2063-12-02
DATE,9/3/2063,2063-09-03,2063-03-09
DATE,Now,2063-09-03,2063-03-09
TIME,12.50 on the 31/7/13,2013--07-31T12:50,2013-07-31T12:50
DATE,10/3/63,2063-10-03,2063-03-10
DATE,4/10/2063,2063-04-10,2063-10-04
DATE,10.3.63,2063-10-03,2063-03-10
DATE,4/10/2063,2063-04-10,2063-10-04
DATE,9.3.63,2063-09-03,2063-03-09
DATE,12/10/1983,1983-12-10,1983-10-12
DATE,2/8/1982,1982-02-08,1982-08-02
DATE,1/9/63,2063-01-09,2063-09-01
DATE,6/3/2003,2003-06-03,2003-03-06
