Category,Original Text,Normalized Value,Normalized Value Corrected
DATE,today,2063-08-21,2063-09-06
DATE,9/10/2063,2063-09-10,2063-10-09
DATE,9/2/63,2063-09-02,2063-02-09
TIME,at 3.40pm,15:40,T15:40
DATE,9/11/63,2063-09-11,2063-11-09
DATE,9/11/63,2063-09-11,2063-11-09
DATE,9/2/63,2063-09-02,2063-02-09
TIME,at 3.36pm on 0408.13,2013-04-08T15:36,2013-08-04T15:36
DATE,3.4.64,2064-03-04,2064-04-03
DATE,2.5.63,2063-02-05,2063-05-02
DATE,2.4.63,2063-02-04,2063-04-02
DATE,3.4.64,2064-03-04,2064-04-03
DATE,10/5/1989,1989-10-05,1989-05-10
DATE,15/12063,2063-01-15,
DATE,11/12/2004,2004-11-12,2004-12-11
DATE,now,2065-07-30,2062-07-01
DATE,7/3/2062,2062-07-03,2062-03-07
DATE,7.1.62,2062-07-01,2062-01-07
DATE,7/2/62,2062-07-02,2062-02-07
DATE,8/10/62,2062-08-10,2062-10-08
DATE,8/7/62,2062-08-07,2062-07-08
DATE,5/10/2006,2006-05-10,2006-10-05
DATE,12/3/2019,2019-12-03,2019-03-12
TIME,at 1:25pm on 20.6.12,201-06-20T13:25,2012-06-20T13:25
DATE,/426/1984,1984-426,
TIME,25/06/2012 at 09:48,2012-06-25T09:49,2012-06-25T09:48
DURATION,15 years,P5Y,P15Y
DATE,11/3/2006,2006-11-03,2006-03-11
DATE,9/4/62,2062-09-04,2062-04-09
DATE,9/11/62,2062-09-11,2062-11-09
DATE,6.10.64,2064-06-10,2064-10-06
DATE,6/9/2064,2064-06-09,2064-09-06
DATE,6/5/64,2064-06-05,2064-05-06
DATE,4/9/1983,1983-04-09,1983-09-04
DATE,6/11/2064,2064-06-11,2064-11-06
DATE,6.9.64,2064-06-09,2064-09-06
DATE,6/9/64,2064-06-09,2064-09-06
DATE,6/3/64,2064-06-03,2064-03-06
DATE,12/2/1994,1994-12-02,1994-02-12
DATE,6/1/1990,1990-06-01,1990-01-06
DATE,10/11/62,2062-10-11,2062-11-10
DATE,10/5/2062,2062-10-05,2062-05-10
DATE,10/8/2062,2062-10-08,2062-08-10
DATE,7/2/2005,2005-07-02,2005-02-07
DATE,10/3/2062,2062-10-03,2062-03-10
DATE,10.5.62,2062-10-05,2062-05-10
DATE,10/12/2062,2062-10-12,2062-12-10
DATE,10.11.62,2062-10-11,2062-11-10
DATE,10.11.62,2062-10-11,2062-11-10
DATE,10/5/2029,2029-10-05,2029-05-10
DATE,10/11/62,2062-10-11,2062-11-10
DATE,5.3.63,2063-05-03,2063-03-05
DATE,5/7/63,2063-05-07,2063-07-05
DATE,10/2/1984,1984-10-02,1984-02-10
DATE,10.2.62,2062-10-02,2062-02-10
DATE,2.4.63,2063-02-04,2063-04-02
DATE,11.9.62,2062-11-09,2062-09-11
DATE,10/3/62,2062-10-03,2062-03-10
DATE,now,2065-07-30,2062-10-01
DATE,6.9.64,2064-06-09,2064-09-06
DATE,6.10.64,2064-06-10,2064-10-06
DATE,6/10/1987,1987-06-10,1987-10-06
DATE,2/8/2003,2003-02-08,2003-08-02
DATE,10/11/1991,1991-10-11,1991-11-10
TIME,4:26pm on 16/54/14,2014-04-16,
DATE,3.2.64,2064-03-02,2064-02-03
DATE,11/2/1991,1991-11-02,1991-02-11
DATE,11.5.62,2062-11-05,2062-05-11
DATE,6/4/2010,2010-06-04,2010-04-06
DATE,11/6/2062,2062-11-06,2062-06-11
DATE,11.7.62,2062-11-07,2062-07-11
DATE,5.3.63,2063-05-03,2063-03-05
DATE,5.3.63,2063-05-03,2063-03-05
DATE,10/1/1975,1975-10-01,1975-01-10
DATE,7.1.62,2062-07-01,2062-01-07
DATE,now,2065-07-30,2062-01-10
DATE,7.1.62,2062-07-01,2062-01-07
DATE,7.1.62,2062-07-01,2062-01-07
DATE,1/9/62,2062-01-09,2062-09-01
DATE,2.5.2062,2062-02-05,2062-05-02
DATE,2/6/2062,2062-02-06,2062-06-02
DATE,1.2.62,2062-01-02,2062-02-01
DATE,4/7/2025,2025-04-07,2025-07-04
DATE,2.5.62,2062-02-05,2062-05-02
DATE,now,2065-07-30,2062-08-01
DATE,now,2065-07-30,2062-08-01
DATE,2/7/62,2062-02-07,2062-07-02
DATE,3.4.63,2063-03-04,2063-04-03
DATE,3.4.63,2063-03-04,2063-04-03
DATE,10/7/2031,2031-10-07,2031-07-10
DATE,3/9/2063,2063-03-09,2063-09-03
DATE,3/10/63,2063-03-10,2063-10-03
DATE,5/3/2063,2063-05-03,2063-03-05
DATE,5.3.2063,2063-05-03,2063-03-05
TIME,1217Hrs on 27.2.14,2014-02-27T12:17,
TIME,1245Hrs on 27.2.14,2014-02-27T12:45,
DATE,10/3/1978,1978-10-03,1978-03-10
DATE,4.7.64,2064-04-07,2064-07-04
DATE,24th of March 2064,2064-03-24,
DATE,4.7.64,2064-04-07,2064-07-04
DATE,8/7/1990,1990-08-07,1990-07-08
DATE,2/11/63,2063-02-11,2063-11-02
DATE,12/2/2005,2005-12-02,2005-02-12
DATE,6.1.64,2064-06-01,2064-01-06
DATE,6/2/2064,2064-06-02,2064-02-06
DATE,7.3.64,2064-07-03,2064-03-07
TIME,15/01/2013 at 13:00,2013-01-15T13;00,2013-01-15T13:00
DATE,2.6.63,2063-02-06,2063-06-02
DATE,3/2/2063,2063-03-02,2063-02-03
DATE,3.1.63,2063-03-01,2063-01-03
DATE,3/2/63,2063-03-02,2063-02-03
DATE,6/2/2008,2008-06-02,2008-02-06
DATE,3/2/2063,2063-03-02,2063-02-03
DATE,9/10/2023,2023-09-10,2023-10-09
DATE,4/7/63,2063-04-07,2063-07-04
DATE,4.10.63,2063-04-10,2063-10-04
DATE,12/6/1998,1998-12-06,1998-06-12
DATE,8/6/2010,2010-08-06,2010-06-08
DATE,7/4/2010,2010-07-04,2010-04-07
DATE,now,2065-07-30,2063-04-24
DATE,3/6/2009,2009-03-06,2009-06-03
DATE,11/7/2063,2063-11-07,2063-07-11
DATE,5/6/63,2063-05-06,2063-06-05
DATE,5.8.2063,2063-05-08,2063-08-05
DATE,5/3/1998,1998-05-03,1998-03-05
DATE,5.6.63,2063-05-06,2063-06-05
DATE,5/8/2063,2063-05-08,2063-08-05
DATE,5/8/2063,2063-05-08,2063-08-05
DATE,6.10.63,2063-06-10,2063-10-06
DATE,2.11.63,2063-02-11,2063-11-02
DATE,2/11/2063,2063-02-11,2063-11-02
DATE,2.11.63,2063-02-11,2063-11-02
DATE,09-12-13,2063-02-11,2013-12-09
DATE,2/12/63,2063-02-12,2063-12-02
DATE,1/2/1995,1995-01-02,1995-02-01
DATE,2.5.63,2063-02-05,2063-05-02
DATE,2.5.63,2063-02-05,2063-05-02
TIME,on the 16th of October 2013 at 11:25am,2013-10-16T11:25,T11:25
TIME,16th of October 2013 at 11:25am,2013-10-16T11:25,T11:25
DATE,7/3/1978,1978-07-03,1978-03-07
DATE,12/5/2063,2063-12-05,2063-05-12
DATE,11.2.63,2063-11-02,2063-02-11
TIME,"13:50pm, 25th of September 2013",2013-09-25T13:50,T13:50
TIME,2:15pm on the 25th of September 2013,2013-09-25T14:15,T14:15
DATE,2.11.63,2063-02-11,2063-11-02
TIME,16:50pm on 17th of September 2013,2013-09-17T16:50,T16:50
DATE,6/10/1975,1975-06-10,1975-10-06
DATE,12/5/1993,1993-12-05,1993-05-12
DATE,11/12/2063,2063-11-12,2063-12-11
DATE,11/12/63,2063-11-12,2063-12-11
DATE,11/8/2063,2063-11-08,2063-08-11
DATE,11/6/63,2063-11-06,2063-06-11
DATE,11.8.2063,2063-11-08,2063-08-11
DATE,10.1.63,2063-10-01,2063-01-10
DATE,5/6/1993,1993-05-06,1993-06-05
DATE,5/10/63,2063-05-10,2063-10-05
TIME,15/03/2013 at 09:22,2013-03-15T09:23,2013-03-15T09:22
DATE,12/11/1996,1996-12-11,1996-11-12
DATE,12/10/2007,2007-12-10,2007-10-12
DATE,6/12/63,2063-06-12,2063-12-06
DATE,6/4/63,2063-06-04,2063-04-06
TIME,26/03/2013 at 15:07,2013-03-26T15:02,2013-03-26T15:07
DATE,5.6.63,2063-05-06,2063-06-05
DATE,6.10.63,2063-06-10,2063-10-06
DATE,1/7/1988,1988-01-07,1988-07-01
DATE,8/3/2012,2012-08-03,2012-03-08
DATE,11/6/63,2063-11-06,2063-06-11
DATE,6.11.63,2063-06-11,2063-11-06
DATE,6/12/2063,2063-06-12,2063-12-06
DATE,6/10/64,2064-06-10,2064-10-06
DATE,1/12/1999,1999-01-12,1999-12-01
DATE,7/1/63,2063-07-01,2063-01-07
DATE,6/1/2063,2063-06-01,2063-01-06
DATE,7/4/2063,2063-07-04,2063-04-07
DATE,7/9/2063,2063-07-09,2063-09-07
DATE,today,2063-08-21,2063-06-19
DATE,7/8/63,2063-07-08,2063-08-07
DATE,7.5.2063,2063-07-05,2063-05-07
DATE,7/8/63,2063-07-08,2063-08-07
DATE,7/8/63,2063-07-08,2063-08-07
DATE,7/3/2063,2063-07-03,2063-03-07
