Category,Original Text,Normalized Value,Normalized Value Corrected
DATE,20/6/1989,1989-06-20,1989-06-20
DATE,28/8/2063,2063-08-28,2063-08-28
DATE,29.8.63,2063-08-29,2063-08-29
DATE,8/7/2019,2019-07-08,2019-07-08
DATE,21/8/2063,2063-08-21,2063-08-21
DATE,6.9.63,2063-09-06,2063-09-06
DATE,today,2063-08-21,2063-09-06
DATE,4.9.63,2063-09-04,2063-09-04
DATE,22/8/63,2063-08-22,2063-08-22
DATE,6.9.63,2063-09-06,2063-09-06
DATE,3.9.63,2063-09-03,2063-09-03
DATE,5.9.63,2063-09-05,2063-09-05
DATE,12/8/1999,1999-08-12,1999-08-12
DATE,11/9/2063,2063-09-11,2063-09-11
DATE,12.9.63,2063-09-12,2063-09-12
SET,twice,R2,R2
DATE,3/11/1982,1982-11-03,1982-11-03
TIME,25/06/2013 at 18:09,2013-06-25T18:09,2013-06-25T18:09
DATE,6.9.63,2063-09-06,2063-09-06
DATE,29.8.63,2063-08-29,2063-08-29
DATE,6.9.63,2063-09-06,2063-09-06
DATE,3.9.63,2063-09-03,2063-09-03
DATE,17/1/2003,2003-01-17,2003-01-17
DATE,9/10/2063,2063-09-10,2063-10-09
DATE,9/2/63,2063-09-02,2063-02-09
DURATION,23yrs,P23Y,P23Y
TIME,at 3.40pm,15:40,T15:40
DATE,9/11/63,2063-09-11,2063-11-09
DATE,9/11/63,2063-09-11,2063-11-09
DATE,18/9/63,2063-09-18,2063-09-18
DATE,9/2/63,2063-09-02,2063-02-09
DATE,24/1/2002,2002-01-24,2002-01-24
DATE,17/9/2063,2063-09-17,2063-09-17
DATE,11.3.64,2064-03-11,2064-03-11
TIME,3:30 on 15.07.13,2013-07-15T03:30,2013-07-15T03:30
DATE,19.9.63,2063-09-19,2063-09-19
DATE,11.3.64,2064-03-11,2064-03-11
DATE,26/11/2004,2004-11-26,2004-11-26
DATE,26/9/2063,2063-09-26,2063-09-26
DATE,26.9.63,2063-09-26,2063-09-26
DATE,5/7/2004,2004-07-05,2004-07-05
DATE,14/10/2063,2063-10-14,2063-10-14
DATE,28.5.2064,2064-05-28,2064-05-28
DATE,15.10.63,2063-10-15,2063-10-15
DATE,28.5.2064,2064-05-28,2064-05-28
DATE,22/5/1988,1988-05-22,1988-05-22
DATE,6/11/2063,2063-11-06,2063-11-06
DATE,15.1.63,2063-01-15,2063-01-15
TIME,at 3.36pm on 0408.13,2013-04-08T15:36,2013-08-04T15:36
DATE,7.11.63,2063-11-07,2063-11-07
DATE,15.1.63,2063-01-15,2063-01-15
DATE,2/2/1972,1972-02-02,1972-02-02
DATE,23/12/2063,2063-12-23,2063-12-23
DATE,24.12.63,2063-12-24,2063-12-24
DATE,24/6/2015,2015-06-24,2015-06-24
DATE,26/2/2063,2063-02-26,2063-02-26
DATE,20.4.64,2064-04-20,2064-04-20
DATE,3.4.64,2064-03-04,2064-04-03
DATE,2.5.63,2063-02-05,2063-05-02
DATE,2.4.63,2063-02-04,2063-04-02
DATE,3.4.64,2064-03-04,2064-04-03
DATE,20.4.64,2064-04-20,2064-04-20
DATE,10/5/1989,1989-10-05,1989-05-10
DATE,14.6.62,2062-06-14,2062-06-14
DATE,4/12/2011,2011-12-04,2011-12-04
TIME,21/05/2012 at 09:21,2012-05-21T09:21,2012-05-21T09:21
DATE,23.3.2064,2064-03-23,2064-03-23
DATE,25/7/62,2062-07-25,2062-07-25
DATE,23/7/62,2062-07-23,2062-07-23
DATE,23.3.2064,2064-03-23,2064-03-23
DATE,30/1/2007,2007-01-30,2007-01-30
TIME,14/01/2013 at 09:03,2013-01-14T09:03,2013-01-14T09:03
DATE,17.3.63,2063-03-17,2063-03-17
DATE,30/1/2007,2007-01-30,2007-01-30
TIME,08/03/2013 at 15:54,2013-03-08T15:54,2013-03-08T15:54
DATE,15/12063,2063-01-15,
DATE,9/4/1983,1983-04-09,1983-04-09
TIME,at 12.45pm on 17.04.13,2013-04-17T12:45,2013-04-17T12:45
DATE,20.6.63,2063-06-20,2063-06-20
DATE,11/12/2004,2004-11-12,2004-12-11
DATE,23/7/2062,2062-07-23,2062-07-23
TIME,1635hr on 21/5/12,2012-05-21T16:35,2012-05-21T16:35
DATE,24/7/62,2062-07-24,2062-07-24
DATE,22/8/2062,2062-08-22,2062-08-22
DATE,27/8/2062,2062-08-27,2062-08-27
DATE,1/7/2062,2062-07-01,2062-07-01
DATE,27/7/62,2062-07-27,2062-07-27
DATE,27/3/1998,1998-03-27,1998-03-27
TIME,24/05/2012 at 14:58,2012-05-24T14:58,2012-05-24T14:58
DATE,27/7/62,2062-07-27,2062-07-27
DATE,22/6/1989,1989-06-22,1989-06-22
TIME,28/05/2012 at 08:12,2012-05-28T08:12,2012-05-28T08:12
DATE,28.10.63,2063-10-28,2063-10-28
DATE,8.11.62,2062-11-08,2062-11-08
TIME,9:35am on 28.5.12,2012-05-28T09:35,2012-05-28T09:35
DATE,1.7.62,2062-07-01,2062-07-01
DATE,now,2065-07-30,2062-07-01
DATE,8.11.62,2062-11-08,2062-11-08
DATE,28.10.63,2063-10-28,2063-10-28
DATE,7/3/2062,2062-07-03,2062-03-07
DATE,7.1.62,2062-07-01,2062-01-07
DATE,28/7/1997,1997-07-28,1997-07-28
TIME,29/05/2012 at 20:52,2012-05-29T20:52,2012-05-29T20:52
DATE,17.5.64,2064-05-17,2064-05-17
DATE,7/2/62,2062-07-02,2062-02-07
DATE,8/10/62,2062-08-10,2062-10-08
DATE,17.5.64,2064-05-17,2064-05-17
DATE,2061,2061,2061
DATE,23/7/2004,2004-07-23,2004-07-23
DATE,3.7.62,2062-07-03,2062-07-03
DATE,26/1/2004,2004-01-26,2004-01-26
DATE,6/8/2062,2062-08-06,2062-08-06
TIME,at 0955hr on 4/6/12,2012-06-04T09:55,2012-06-04T09:55
DATE,8/7/62,2062-08-07,2062-07-08
DATE,22/7/1980,1980-07-22,1980-07-22
TIME,05/06/2012 at 12:07,2012-06-05T12:07,2012-06-05T12:07
DATE,14.8.2062,2062-08-14,2062-08-14
DATE,8.8.62,2062-08-08,2062-08-08
DATE,14.8.2062,2062-08-14,2062-08-14
DATE,5/10/2006,2006-05-10,2006-10-05
TIME,10/06/2012 at 06:48,2012-06-10T06:48,2012-06-10T06:48
